"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"

"2017-04-18 14:10:03:253","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:10:03:540","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:10:03:583","错误","WxBase.dll","WxBase.Comm.WXService","CheckSignature","验证签名失败：token is soso|| signature is ||timestamp is ||nonce is ||input is soso","OtNaf_D94C16D0","WxBase.Comm.WXService","CheckSignature","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:10:03:583","错误","WxBase.dll","WxBase.Comm.WXService","Response","error:http://localhost:51537/Home/WxRequest","OtNaf_D94C16D0","WxBase.Comm.WXService","Response","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:10:14:919","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""mZiyj-Z_t57DgIO5HAREQA0Y7tU_qLJvvGHmPoa8Zvet_kqAohszBJI6DxLsz6udIgoAu_0tnULEyoCWI7AFBTkhyfPjeQT3lpxL6ktTUkAKo2SJH0AbIcFbQCu0I9BEEYDcACAQKP"",""expires_in"":7200}】","OtNaf_D94C16D0","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:12:35:195","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:12:35:232","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:12:56:592","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""CBkU0zqwCwcqIsnDB0t2qH7PD6M49hw-XKrfPS5py0nphODX0tMgXR4UZ58Utmyy_PHj8sUnKs80T1x_cDIGGwbYHkatvvr6nwS1rmT8yCDd3i90qf4VH8eRhaB_EtOgIBBdAGAEXX"",""expires_in"":7200}】","OtNaf_D94C16D0","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:13:04:286","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:13:04:327","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:13:25:906","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""fKNoCigbLEDfe2mnh_h66gWsms3zy4Wi12L34WnxeMlPd0UzyVotROGFDGDqvajXidES_nmmte2OIJqstd8jO5XQmWv3vLaL_J_9l23DGuhYwSUcb2EPat7cGZJxYPFSXWZjACATSV"",""expires_in"":7200}】","OtNaf_D94C16D0","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:16:09:192","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:16:09:229","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_D94C16D0","OtNaf.ComLib.OtCom","cctor","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:16:09:231","错误","WxBase.dll","WxBase.Comm.WXService","CheckSignature","验证签名失败：token is soso|| signature is ||timestamp is ||nonce is ||input is soso","OtNaf_D94C16D0","WxBase.Comm.WXService","CheckSignature","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:16:09:231","错误","WxBase.dll","WxBase.Comm.WXService","Response","error:http://localhost:51537/Home/WxRequest","OtNaf_D94C16D0","WxBase.Comm.WXService","Response","D:\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-18 14:16:41:546","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""ykWFkKk1FqOVdHjIckOYswp1k3DjD3CfNUj-PtVbuEAZgt9zUwowGT2D28iSBlX_2qIqIITkpnpAbU6xJLqIuzCWAB1V1OYJrd4_BhWdf0KZ1IrEmTJ-llo_vO9s64sHLKWeAGAXWI"",""expires_in"":7200}】","OtNaf_D94C16D0","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo1\WxDemo\WxWeb\Bin\"
