"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"

"2017-04-14 10:04:23:985","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:04:24:125","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:04:57:325","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","OtComExit","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:05:11:053","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:05:11:085","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:05:11:787","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""3r6L6Cxcqa2zAuLgPoI4F3gv_lSEJC7rM78pN-bPbFWBijzi4zjpq6rWmrV4Azqkbcdy8Gc9PDHadjq5UkpJvfpW8ZdTW-johcG4WwM0pT8CvcPTX3IsUeu9kXy1ghLpIIXcABACCR"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:05:12:099","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=3r6L6Cxcqa2zAuLgPoI4F3gv_lSEJC7rM78pN-bPbFWBijzi4zjpq6rWmrV4Azqkbcdy8Gc9PDHadjq5UkpJvfpW8ZdTW-johcG4WwM0pT8CvcPTX3IsUeu9kXy1ghLpIIXcABACCR】, result:【{""menu"":{""button"":[{""type"":""click"",""name"":""今日歌曲"",""key"":""V1001_TODAY_MUSIC"",""sub_button"":[]},{""name"":""菜单"",""sub_button"":[{""type"":""view"",""name"":""跳转"",""url"":""https:\/\/open.weixin.qq.com\/connect\/oauth2\/authorize?appid=wx3e5b3f2696a00674&redirect_uri=http:\/\/www.elugo.cn\/test\/test&response_type=code&scope=snsapi_base&state=STATE#wechat_redirect"",""sub_button"":[]},{""type"":""view"",""name"":""视频"",""url"":""http:\/\/v.qq.com\/"",""sub_button"":[]},{""type"":""click"",""name"":""赞一下我们"",""key"":""V1001_GOOD"",""sub_button"":[]}]}]}}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 10:05:17:631","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=3r6L6Cxcqa2zAuLgPoI4F3gv_lSEJC7rM78pN-bPbFWBijzi4zjpq6rWmrV4Azqkbcdy8Gc9PDHadjq5UkpJvfpW8ZdTW-johcG4WwM0pT8CvcPTX3IsUeu9kXy1ghLpIIXcABACCR】, result:【{""menu"":{""button"":[{""type"":""click"",""name"":""今日歌曲"",""key"":""V1001_TODAY_MUSIC"",""sub_button"":[]},{""name"":""菜单"",""sub_button"":[{""type"":""view"",""name"":""跳转"",""url"":""https:\/\/open.weixin.qq.com\/connect\/oauth2\/authorize?appid=wx3e5b3f2696a00674&redirect_uri=http:\/\/www.elugo.cn\/test\/test&response_type=code&scope=snsapi_base&state=STATE#wechat_redirect"",""sub_button"":[]},{""type"":""view"",""name"":""视频"",""url"":""http:\/\/v.qq.com\/"",""sub_button"":[]},{""type"":""click"",""name"":""赞一下我们"",""key"":""V1001_GOOD"",""sub_button"":[]}]}]}}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 12:04:12:876","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 12:04:12:907","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
